Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Cattle,Total Rejections,Generalised TB (Suspect),2019-03,England,141,120492,141,0.117
Cattle,Total Rejections,Generalised TB (Suspect),2019-01,Wales,9,12163,14,0.074
Cattle,Total Rejections,Generalised TB (Suspect),2019-02,Wales,3,11100,14,0.027
Cattle,Total Rejections,Generalised TB (Suspect),2019-03,Wales,12,11280,14,0.106
Cattle,Total Rejections,Hydatidosis,2019-02,England,1,123348,140,0.001
Cattle,Total Rejections,Jaundice,2019-01,England,3,138552,141,0.002
Cattle,Total Rejections,Jaundice,2019-02,England,2,123348,140,0.002
Cattle,Total Rejections,Jaundice,2019-03,England,2,120492,141,0.002
Cattle,Total Rejections,Navel ill/joint ill for young animals,2019-02,England,1,123348,140,0.001
Cattle,Total Rejections,Other,2019-01,England,68,138552,141,0.049
Cattle,Total Rejections,Other,2019-02,England,92,123348,140,0.075
Cattle,Total Rejections,Other,2019-03,England,60,120492,141,0.05
Cattle,Total Rejections,Other,2019-01,Wales,1,12163,14,0.008
Cattle,Total Rejections,Other,2019-02,Wales,1,11100,14,0.009
Cattle,Total Rejections,Other,2019-03,Wales,1,11280,14,0.009
Cattle,Total Rejections,Pyaemia/ Multiple abscesses,2019-01,England,97,138552,141,0.07
Cattle,Total Rejections,Pyaemia/ Multiple abscesses,2019-02,England,89,123348,140,0.072
Cattle,Total Rejections,Pyaemia/ Multiple abscesses,2019-03,England,72,120492,141,0.06
Cattle,Total Rejections,Pyaemia/ Multiple abscesses,2019-01,Wales,10,12163,14,0.082
Cattle,Total Rejections,Pyaemia/ Multiple abscesses,2019-02,Wales,8,11100,14,0.072
Cattle,Total Rejections,Pyaemia/ Multiple abscesses,2019-03,Wales,16,11280,14,0.142
Cattle,Total Rejections,Septicaemia / Fever,2019-01,England,129,138552,141,0.093
Cattle,Total Rejections,Septicaemia / Fever,2019-02,England,123,123348,140,0.1
Cattle,Total Rejections,Septicaemia / Fever,2019-03,England,135,120492,141,0.112
Cattle,Total Rejections,Septicaemia / Fever,2019-01,Wales,22,12163,14,0.181
Cattle,Total Rejections,Septicaemia / Fever,2019-02,Wales,8,11100,14,0.072
Cattle,Total Rejections,Septicaemia / Fever,2019-03,Wales,9,11280,14,0.08
